Area,Item,Year,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,hg/ha_yield,country,GDP_per_capita,food_supply,_merge,GDP_per_capita_clean,gdp_group
AUSTRIA,Soybeans,2006-01-01,1110,3415.7,9.13,25970,AUSTRIA,50.7k,3720.0,both,50700.0,High GDP
AUSTRIA,Wheat,2006-01-01,1110,3415.7,9.13,49066,AUSTRIA,50.7k,3720.0,both,50700.0,High GDP
AUSTRIA,Maize,2007-01-01,1110,3526.6,10.03,103128,AUSTRIA,52.6k,3740.0,both,52600.0,High GDP
AUSTRIA,Potatoes,2007-01-01,1110,3526.6,10.03,294931,AUSTRIA,52.6k,3740.0,both,52600.0,High GDP
AUSTRIA,Soybeans,2007-01-01,1110,3526.6,10.03,26211,AUSTRIA,52.6k,3740.0,both,52600.0,High GDP
AUSTRIA,Wheat,2007-01-01,1110,3526.6,10.03,47763,AUSTRIA,52.6k,3740.0,both,52600.0,High GDP
AUSTRIA,Maize,2008-01-01,1110,4246.7,9.96,113173,AUSTRIA,53.3k,3720.0,both,53300.0,High GDP
AUSTRIA,Potatoes,2008-01-01,1110,4246.7,9.96,331993,AUSTRIA,53.3k,3720.0,both,53300.0,High GDP
AUSTRIA,Soybeans,2008-01-01,1110,4246.7,9.96,29369,AUSTRIA,53.3k,3720.0,both,53300.0,High GDP
AUSTRIA,Wheat,2008-01-01,1110,4246.7,9.96,56935,AUSTRIA,53.3k,3720.0,both,53300.0,High GDP
AUSTRIA,Maize,2009-01-01,1110,3531.8,9.48,108293,AUSTRIA,51.2k,3720.0,both,51200.0,High GDP
AUSTRIA,Potatoes,2009-01-01,1110,3531.8,9.48,324947,AUSTRIA,51.2k,3720.0,both,51200.0,High GDP
AUSTRIA,Soybeans,2009-01-01,1110,3531.8,9.48,28171,AUSTRIA,51.2k,3720.0,both,51200.0,High GDP
AUSTRIA,Wheat,2009-01-01,1110,3531.8,9.48,49295,AUSTRIA,51.2k,3720.0,both,51200.0,High GDP
AUSTRIA,Maize,2010-01-01,1110,3692.4,8.36,97247,AUSTRIA,52.1k,3720.0,both,52100.0,High GDP
AUSTRIA,Potatoes,2010-01-01,1110,3692.4,8.36,305703,AUSTRIA,52.1k,3720.0,both,52100.0,High GDP
AUSTRIA,Sorghum,2010-01-01,1110,3692.4,8.36,67666,AUSTRIA,52.1k,3720.0,both,52100.0,High GDP
AUSTRIA,Soybeans,2010-01-01,1110,3692.4,8.36,27501,AUSTRIA,52.1k,3720.0,both,52100.0,High GDP
AUSTRIA,Wheat,2010-01-01,1110,3692.4,8.36,50117,AUSTRIA,52.1k,3720.0,both,52100.0,High GDP
AUSTRIA,Maize,2011-01-01,1110,3441.5,9.42,112996,AUSTRIA,53.5k,3740.0,both,53500.0,High GDP
AUSTRIA,Sorghum,2011-01-01,1110,3441.5,9.42,67299,AUSTRIA,53.5k,3740.0,both,53500.0,High GDP
AUSTRIA,Soybeans,2011-01-01,1110,3441.5,9.42,28691,AUSTRIA,53.5k,3740.0,both,53500.0,High GDP
AUSTRIA,Wheat,2011-01-01,1110,3441.5,9.42,58549,AUSTRIA,53.5k,3740.0,both,53500.0,High GDP
AUSTRIA,Maize,2012-01-01,1110,3563.3,9.42,107025,AUSTRIA,53.6k,3740.0,both,53600.0,High GDP
AUSTRIA,Potatoes,2012-01-01,1110,3563.3,9.42,305491,AUSTRIA,53.6k,3740.0,both,53600.0,High GDP
AUSTRIA,Sorghum,2012-01-01,1110,3563.3,9.42,68081,AUSTRIA,53.6k,3740.0,both,53600.0,High GDP
AUSTRIA,Soybeans,2012-01-01,1110,3563.3,9.42,28051,AUSTRIA,53.6k,3740.0,both,53600.0,High GDP
AUSTRIA,Wheat,2012-01-01,1110,3563.3,9.42,41388,AUSTRIA,53.6k,3740.0,both,53600.0,High GDP
AUSTRIA,Maize,2013-01-01,1110,3108.6,10.03,81173,AUSTRIA,53.3k,3770.0,both,53300.0,High GDP
AUSTRIA,Potatoes,2013-01-01,1110,3108.6,10.03,285897,AUSTRIA,53.3k,3770.0,both,53300.0,High GDP
AUSTRIA,Sorghum,2013-01-01,1110,3108.6,10.03,52447,AUSTRIA,53.3k,3770.0,both,53300.0,High GDP
AUSTRIA,Soybeans,2013-01-01,1110,3108.6,10.03,19697,AUSTRIA,53.3k,3770.0,both,53300.0,High GDP
AUSTRIA,Wheat,2013-01-01,1110,3108.6,10.03,53743,AUSTRIA,53.3k,3770.0,both,53300.0,High GDP
BAHRAIN,Potatoes,1990-01-01,83,14.05,26.26,186667,BAHRAIN,23.5k,,both,23500.0,High GDP
BAHRAIN,Sweet potatoes,1990-01-01,83,14.05,26.26,116667,BAHRAIN,23.5k,,both,23500.0,High GDP
BAHRAIN,Potatoes,1991-01-01,83,14.05,25.73,206667,BAHRAIN,25.8k,,both,25800.0,High GDP
BAHRAIN,Sweet potatoes,1991-01-01,83,14.05,25.73,120000,BAHRAIN,25.8k,,both,25800.0,High GDP
BAHRAIN,Potatoes,1992-01-01,83,14.05,25.09,188000,BAHRAIN,27.9k,,both,27900.0,High GDP
BAHRAIN,Sweet potatoes,1992-01-01,83,14.05,25.09,112500,BAHRAIN,27.9k,,both,27900.0,High GDP
BAHRAIN,Potatoes,1993-01-01,83,14.05,26.09,162857,BAHRAIN,31.4k,,both,31400.0,High GDP
BAHRAIN,Sweet potatoes,1993-01-01,83,14.05,26.09,116667,BAHRAIN,31.4k,,both,31400.0,High GDP
BAHRAIN,Potatoes,1994-01-01,83,30.86,26.66,147500,BAHRAIN,31.8k,,both,31800.0,High GDP
BAHRAIN,Sweet potatoes,1994-01-01,83,30.86,26.66,125000,BAHRAIN,31.8k,,both,31800.0,High GDP
BAHRAIN,Potatoes,1995-01-01,83,12.46,26.18,166667,BAHRAIN,33.1k,,both,33100.0,High GDP
BAHRAIN,Sweet potatoes,1995-01-01,83,12.46,26.18,120000,BAHRAIN,33.1k,,both,33100.0,High GDP
BAHRAIN,Potatoes,1996-01-01,83,12.16,26.76,125000,BAHRAIN,34.5k,,both,34500.0,High GDP
BAHRAIN,Potatoes,1997-01-01,83,9.42,26.11,160000,BAHRAIN,35.6k,,both,35600.0,High GDP
BAHRAIN,Potatoes,1998-01-01,83,11.15,27.54,160000,BAHRAIN,37.2k,,both,37200.0,High GDP
BAHRAIN,Potatoes,1999-01-01,83,12.5,27.67,100000,BAHRAIN,38.8k,,both,38800.0,High GDP
BAHRAIN,Potatoes,2000-01-01,83,8.65,26.99,103333,BAHRAIN,40.8k,,both,40800.0,High GDP
BAHRAIN,Potatoes,2001-01-01,83,9.2,27.36,110000,BAHRAIN,41.6k,,both,41600.0,High GDP
BAHRAIN,Potatoes,2002-01-01,83,0.91,27.19,190000,BAHRAIN,42.8k,,both,42800.0,High GDP
BAHRAIN,Potatoes,2004-01-01,83,12.24,27.07,180000,BAHRAIN,45.2k,,both,45200.0,High GDP
BAHRAIN,Potatoes,2005-01-01,83,12.75,26.89,100000,BAHRAIN,45.3k,,both,45300.0,High GDP
BAHRAIN,Potatoes,2006-01-01,83,12.12,27.15,130000,BAHRAIN,45.3k,,both,45300.0,High GDP
BAHRAIN,Potatoes,2007-01-01,83,16.25,27.13,255556,BAHRAIN,46.1k,,both,46100.0,High GDP
BAHRAIN,Potatoes,2008-01-01,83,10.45,26.96,210000,BAHRAIN,46.2k,,both,46200.0,High GDP
BAHRAIN,Potatoes,2009-01-01,83,12.59,27.24,166667,BAHRAIN,44.9k,,both,44900.0,High GDP
BAHRAIN,Potatoes,2010-01-01,83,9.84,28.0,155598,BAHRAIN,45.6k,,both,45600.0,High GDP
BAHRAIN,Potatoes,2011-01-01,83,9.14,27.01,171162,BAHRAIN,46.6k,,both,46600.0,High GDP
BAHRAIN,Potatoes,2012-01-01,83,9.14,27.45,177812,BAHRAIN,47.8k,,both,47800.0,High GDP
BAHRAIN,Potatoes,2013-01-01,83,9.14,27.86,179569,BAHRAIN,49k,,both,49000.0,High GDP
BURKINA FASO,Cassava,1990-01-01,748,29.1,28.77,29600,BURKINA FASO,1100,2200.0,both,1100.0,Low GDP
BURKINA FASO,Maize,1990-01-01,748,29.1,28.77,14612,BURKINA FASO,1100,2200.0,both,1100.0,Low GDP
BURKINA FASO,Potatoes,1990-01-01,748,29.1,28.77,61985,BURKINA FASO,1100,2200.0,both,1100.0,Low GDP
BURKINA FASO,"Rice, paddy",1990-01-01,748,29.1,28.77,20783,BURKINA FASO,1100,2200.0,both,1100.0,Low GDP
BURKINA FASO,Sorghum,1990-01-01,748,29.1,28.77,5827,BURKINA FASO,1100,2200.0,both,1100.0,Low GDP
BURKINA FASO,Soybeans,1990-01-01,748,29.1,28.77,4667,BURKINA FASO,1100,2200.0,both,1100.0,Low GDP
BURKINA FASO,Sweet potatoes,1990-01-01,748,29.1,28.77,67598,BURKINA FASO,1100,2200.0,both,1100.0,Low GDP
BURKINA FASO,Yams,1990-01-01,748,29.1,28.77,66250,BURKINA FASO,1100,2200.0,both,1100.0,Low GDP
BURKINA FASO,Cassava,1991-01-01,748,29.1,28.4,24558,BURKINA FASO,1150,2230.0,both,1150.0,Low GDP
BURKINA FASO,Maize,1991-01-01,748,29.1,28.4,16868,BURKINA FASO,1150,2230.0,both,1150.0,Low GDP
BURKINA FASO,Potatoes,1991-01-01,748,29.1,28.4,61898,BURKINA FASO,1150,2230.0,both,1150.0,Low GDP
BURKINA FASO,"Rice, paddy",1991-01-01,748,29.1,28.4,21444,BURKINA FASO,1150,2230.0,both,1150.0,Low GDP
BURKINA FASO,Sorghum,1991-01-01,748,29.1,28.4,9092,BURKINA FASO,1150,2230.0,both,1150.0,Low GDP
BURKINA FASO,Soybeans,1991-01-01,748,29.1,28.4,5000,BURKINA FASO,1150,2230.0,both,1150.0,Low GDP
BURKINA FASO,Sweet potatoes,1991-01-01,748,29.1,28.4,55862,BURKINA FASO,1150,2230.0,both,1150.0,Low GDP
BURKINA FASO,Yams,1991-01-01,748,29.1,28.4,60833,BURKINA FASO,1150,2230.0,both,1150.0,Low GDP
BURKINA FASO,Cassava,1992-01-01,748,29.1,28.06,21429,BURKINA FASO,1110,2290.0,both,1110.0,Low GDP
BURKINA FASO,Maize,1992-01-01,748,29.1,28.06,15238,BURKINA FASO,1110,2290.0,both,1110.0,Low GDP
BURKINA FASO,Potatoes,1992-01-01,748,29.1,28.06,60637,BURKINA FASO,1110,2290.0,both,1110.0,Low GDP
BURKINA FASO,"Rice, paddy",1992-01-01,748,29.1,28.06,18831,BURKINA FASO,1110,2290.0,both,1110.0,Low GDP
BURKINA FASO,Sorghum,1992-01-01,748,29.1,28.06,9437,BURKINA FASO,1110,2290.0,both,1110.0,Low GDP
BURKINA FASO,Soybeans,1992-01-01,748,29.1,28.06,5882,BURKINA FASO,1110,2290.0,both,1110.0,Low GDP
BURKINA FASO,Sweet potatoes,1992-01-01,748,29.1,28.06,56904,BURKINA FASO,1110,2290.0,both,1110.0,Low GDP
BURKINA FASO,Yams,1992-01-01,748,29.1,28.06,11475,BURKINA FASO,1110,2290.0,both,1110.0,Low GDP
BURKINA FASO,Cassava,1993-01-01,748,17.0,28.58,19455,BURKINA FASO,1110,2310.0,both,1110.0,Low GDP
BURKINA FASO,Maize,1993-01-01,748,17.0,28.58,13722,BURKINA FASO,1110,2310.0,both,1110.0,Low GDP
BURKINA FASO,Potatoes,1993-01-01,748,17.0,28.58,62308,BURKINA FASO,1110,2310.0,both,1110.0,Low GDP
BURKINA FASO,"Rice, paddy",1993-01-01,748,17.0,28.58,21630,BURKINA FASO,1110,2310.0,both,1110.0,Low GDP
BURKINA FASO,Sorghum,1993-01-01,748,17.0,28.58,11027,BURKINA FASO,1110,2310.0,both,1110.0,Low GDP
BURKINA FASO,Soybeans,1993-01-01,748,17.0,28.58,14628,BURKINA FASO,1110,2310.0,both,1110.0,Low GDP
BURKINA FASO,Sweet potatoes,1993-01-01,748,17.0,28.58,50965,BURKINA FASO,1110,2310.0,both,1110.0,Low GDP
BURKINA FASO,Yams,1993-01-01,748,17.0,28.58,59603,BURKINA FASO,1110,2310.0,both,1110.0,Low GDP
BURKINA FASO,Cassava,1994-01-01,748,6.0,28.0,20000,BURKINA FASO,1090,2340.0,both,1090.0,Low GDP
BURKINA FASO,Maize,1994-01-01,748,6.0,28.0,16042,BURKINA FASO,1090,2340.0,both,1090.0,Low GDP
BURKINA FASO,Potatoes,1994-01-01,748,6.0,28.0,61538,BURKINA FASO,1090,2340.0,both,1090.0,Low GDP
BURKINA FASO,"Rice, paddy",1994-01-01,748,6.0,28.0,19582,BURKINA FASO,1090,2340.0,both,1090.0,Low GDP
BURKINA FASO,Sorghum,1994-01-01,748,6.0,28.0,7793,BURKINA FASO,1090,2340.0,both,1090.0,Low GDP
BURKINA FASO,Soybeans,1994-01-01,748,6.0,28.0,9595,BURKINA FASO,1090,2340.0,both,1090.0,Low GDP
BURKINA FASO,Sweet potatoes,1994-01-01,748,6.0,28.0,55351,BURKINA FASO,1090,2340.0,both,1090.0,Low GDP
BURKINA FASO,Yams,1994-01-01,748,6.0,28.0,53043,BURKINA FASO,1090,2340.0,both,1090.0,Low GDP
BURKINA FASO,Cassava,1995-01-01,748,3.04,28.46,20000,BURKINA FASO,1110,2340.0,both,1110.0,Low GDP
BURKINA FASO,Maize,1995-01-01,748,3.04,28.46,11441,BURKINA FASO,1110,2340.0,both,1110.0,Low GDP
BURKINA FASO,Potatoes,1995-01-01,748,3.04,28.46,62500,BURKINA FASO,1110,2340.0,both,1110.0,Low GDP
BURKINA FASO,"Rice, paddy",1995-01-01,748,3.04,28.46,19249,BURKINA FASO,1110,2340.0,both,1110.0,Low GDP
BURKINA FASO,Sorghum,1995-01-01,748,3.04,28.46,8758,BURKINA FASO,1110,2340.0,both,1110.0,Low GDP
BURKINA FASO,Soybeans,1995-01-01,748,3.04,28.46,27319,BURKINA FASO,1110,2340.0,both,1110.0,Low GDP
BURKINA FASO,Sweet potatoes,1995-01-01,748,3.04,28.46,36755,BURKINA FASO,1110,2340.0,both,1110.0,Low GDP
BURKINA FASO,Yams,1995-01-01,748,3.04,28.46,69212,BURKINA FASO,1110,2340.0,both,1110.0,Low GDP
BURKINA FASO,Cassava,1996-01-01,748,39.16,28.74,20489,BURKINA FASO,1190,2340.0,both,1190.0,Low GDP
BURKINA FASO,Maize,1996-01-01,748,39.16,28.74,15521,BURKINA FASO,1190,2340.0,both,1190.0,Low GDP
BURKINA FASO,Potatoes,1996-01-01,748,39.16,28.74,28605,BURKINA FASO,1190,2340.0,both,1190.0,Low GDP
BURKINA FASO,"Rice, paddy",1996-01-01,748,39.16,28.74,23883,BURKINA FASO,1190,2340.0,both,1190.0,Low GDP
BURKINA FASO,Sorghum,1996-01-01,748,39.16,28.74,9095,BURKINA FASO,1190,2340.0,both,1190.0,Low GDP
BURKINA FASO,Soybeans,1996-01-01,748,39.16,28.74,10710,BURKINA FASO,1190,2340.0,both,1190.0,Low GDP
BURKINA FASO,Sweet potatoes,1996-01-01,748,39.16,28.74,62201,BURKINA FASO,1190,2340.0,both,1190.0,Low GDP
BURKINA FASO,Yams,1996-01-01,748,39.16,28.74,73799,BURKINA FASO,1190,2340.0,both,1190.0,Low GDP
BURKINA FASO,Cassava,1997-01-01,748,75.29,28.52,20557,BURKINA FASO,1220,2310.0,both,1220.0,Low GDP
BURKINA FASO,Maize,1997-01-01,748,75.29,28.52,15185,BURKINA FASO,1220,2310.0,both,1220.0,Low GDP
BURKINA FASO,Potatoes,1997-01-01,748,75.29,28.52,23981,BURKINA FASO,1220,2310.0,both,1220.0,Low GDP
BURKINA FASO,"Rice, paddy",1997-01-01,748,75.29,28.52,15750,BURKINA FASO,1220,2310.0,both,1220.0,Low GDP
BURKINA FASO,Sorghum,1997-01-01,748,75.29,28.52,6804,BURKINA FASO,1220,2310.0,both,1220.0,Low GDP
BURKINA FASO,Soybeans,1997-01-01,748,75.29,28.52,9514,BURKINA FASO,1220,2310.0,both,1220.0,Low GDP
BURKINA FASO,Sweet potatoes,1997-01-01,748,75.29,28.52,52003,BURKINA FASO,1220,2310.0,both,1220.0,Low GDP
BURKINA FASO,Yams,1997-01-01,748,75.29,28.52,69169,BURKINA FASO,1220,2310.0,both,1220.0,Low GDP
BURKINA FASO,Cassava,1998-01-01,748,111.41,28.95,20706,BURKINA FASO,1270,2290.0,both,1270.0,Low GDP
BURKINA FASO,Maize,1998-01-01,748,111.41,28.95,13919,BURKINA FASO,1270,2290.0,both,1270.0,Low GDP
BURKINA FASO,Potatoes,1998-01-01,748,111.41,28.95,24321,BURKINA FASO,1270,2290.0,both,1270.0,Low GDP
BURKINA FASO,"Rice, paddy",1998-01-01,748,111.41,28.95,19388,BURKINA FASO,1270,2290.0,both,1270.0,Low GDP
BURKINA FASO,Sorghum,1998-01-01,748,111.41,28.95,8541,BURKINA FASO,1270,2290.0,both,1270.0,Low GDP
BURKINA FASO,Soybeans,1998-01-01,748,111.41,28.95,10308,BURKINA FASO,1270,2290.0,both,1270.0,Low GDP
BURKINA FASO,Sweet potatoes,1998-01-01,748,111.41,28.95,56110,BURKINA FASO,1270,2290.0,both,1270.0,Low GDP
BURKINA FASO,Yams,1998-01-01,748,111.41,28.95,66929,BURKINA FASO,1270,2290.0,both,1270.0,Low GDP
BURKINA FASO,Cassava,1999-01-01,748,93.43,28.45,20902,BURKINA FASO,1310,2340.0,both,1310.0,Low GDP
BURKINA FASO,Maize,1999-01-01,748,93.43,28.45,16241,BURKINA FASO,1310,2340.0,both,1310.0,Low GDP
BURKINA FASO,Potatoes,1999-01-01,748,93.43,28.45,22000,BURKINA FASO,1310,2340.0,both,1310.0,Low GDP
BURKINA FASO,"Rice, paddy",1999-01-01,748,93.43,28.45,24824,BURKINA FASO,1310,2340.0,both,1310.0,Low GDP
BURKINA FASO,Sorghum,1999-01-01,748,93.43,28.45,8857,BURKINA FASO,1310,2340.0,both,1310.0,Low GDP
BURKINA FASO,Soybeans,1999-01-01,748,93.43,28.45,13310,BURKINA FASO,1310,2340.0,both,1310.0,Low GDP
BURKINA FASO,Sweet potatoes,1999-01-01,748,93.43,28.45,84033,BURKINA FASO,1310,2340.0,both,1310.0,Low GDP
BURKINA FASO,Yams,1999-01-01,748,93.43,28.45,65350,BURKINA FASO,1310,2340.0,both,1310.0,Low GDP
BURKINA FASO,Cassava,2000-01-01,748,75.44,28.6,21037,BURKINA FASO,1290,2320.0,both,1290.0,Low GDP
BURKINA FASO,Maize,2000-01-01,748,75.44,28.6,17543,BURKINA FASO,1290,2320.0,both,1290.0,Low GDP
BURKINA FASO,Potatoes,2000-01-01,748,75.44,28.6,21233,BURKINA FASO,1290,2320.0,both,1290.0,Low GDP
BURKINA FASO,"Rice, paddy",2000-01-01,748,75.44,28.6,25675,BURKINA FASO,1290,2320.0,both,1290.0,Low GDP
BURKINA FASO,Sorghum,2000-01-01,748,75.44,28.6,8295,BURKINA FASO,1290,2320.0,both,1290.0,Low GDP
BURKINA FASO,Soybeans,2000-01-01,748,75.44,28.6,8519,BURKINA FASO,1290,2320.0,both,1290.0,Low GDP
BURKINA FASO,Sweet potatoes,2000-01-01,748,75.44,28.6,133168,BURKINA FASO,1290,2320.0,both,1290.0,Low GDP
BURKINA FASO,Yams,2000-01-01,748,75.44,28.6,82928,BURKINA FASO,1290,2320.0,both,1290.0,Low GDP
BURKINA FASO,Cassava,2001-01-01,748,57.46,28.77,21388,BURKINA FASO,1330,2330.0,both,1330.0,Low GDP
BURKINA FASO,Maize,2001-01-01,748,57.46,28.77,18115,BURKINA FASO,1330,2330.0,both,1330.0,Low GDP
BURKINA FASO,Potatoes,2001-01-01,748,57.46,28.77,15852,BURKINA FASO,1330,2330.0,both,1330.0,Low GDP
