Area,Item,Year,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,hg/ha_yield,country,GDP_per_capita,food_supply,_merge,GDP_per_capita_clean
ALBANIA,Potatoes,2005-01-01,1485,880.64,15.67,167061,ALBANIA,8030,2870.0,both,8030.0
ALBANIA,Soybeans,2005-01-01,1485,880.64,15.67,17500,ALBANIA,8030,2870.0,both,8030.0
ALBANIA,Wheat,2005-01-01,1485,880.64,15.67,31582,ALBANIA,8030,2870.0,both,8030.0
ALBANIA,Maize,2006-01-01,1485,943.61,15.92,50111,ALBANIA,8560,2860.0,both,8560.0
ALBANIA,Potatoes,2006-01-01,1485,943.61,15.92,170745,ALBANIA,8560,2860.0,both,8560.0
ALBANIA,Soybeans,2006-01-01,1485,943.61,15.92,20000,ALBANIA,8560,2860.0,both,8560.0
ALBANIA,Wheat,2006-01-01,1485,943.61,15.92,30787,ALBANIA,8560,2860.0,both,8560.0
ALBANIA,Maize,2007-01-01,1485,1006.57,16.67,46732,ALBANIA,9140,2860.0,both,9140.0
ALBANIA,Potatoes,2007-01-01,1485,1006.57,16.67,188902,ALBANIA,9140,2860.0,both,9140.0
ALBANIA,Soybeans,2007-01-01,1485,1006.57,16.67,20000,ALBANIA,9140,2860.0,both,9140.0
ALBANIA,Wheat,2007-01-01,1485,1006.57,16.67,35496,ALBANIA,9140,2860.0,both,9140.0
ALBANIA,Maize,2008-01-01,1485,1069.54,16.71,50000,ALBANIA,9910,2950.0,both,9910.0
ALBANIA,Potatoes,2008-01-01,1485,1069.54,16.71,193878,ALBANIA,9910,2950.0,both,9910.0
ALBANIA,Soybeans,2008-01-01,1485,1069.54,16.71,20000,ALBANIA,9910,2950.0,both,9910.0
ALBANIA,Wheat,2008-01-01,1485,1069.54,16.71,40168,ALBANIA,9910,2950.0,both,9910.0
ALBANIA,Maize,2009-01-01,1485,1132.5,16.73,55693,ALBANIA,10.3k,2990.0,both,10300.0
ALBANIA,Potatoes,2009-01-01,1485,1132.5,16.73,219780,ALBANIA,10.3k,2990.0,both,10300.0
ALBANIA,Soybeans,2009-01-01,1485,1132.5,16.73,16667,ALBANIA,10.3k,2990.0,both,10300.0
ALBANIA,Wheat,2009-01-01,1485,1132.5,16.73,40229,ALBANIA,10.3k,2990.0,both,10300.0
ALBANIA,Maize,2010-01-01,1485,1311.17,16.52,66790,ALBANIA,10.7k,3080.0,both,10700.0
ALBANIA,Potatoes,2010-01-01,1485,1311.17,16.52,231111,ALBANIA,10.7k,3080.0,both,10700.0
ALBANIA,Soybeans,2010-01-01,1485,1311.17,16.52,16667,ALBANIA,10.7k,3080.0,both,10700.0
ALBANIA,Wheat,2010-01-01,1485,1311.17,16.52,39905,ALBANIA,10.7k,3080.0,both,10700.0
ALBANIA,Maize,2011-01-01,1485,1302.63,16.45,59869,ALBANIA,11.1k,3130.0,both,11100.0
ALBANIA,Potatoes,2011-01-01,1485,1302.63,16.45,242211,ALBANIA,11.1k,3130.0,both,11100.0
ALBANIA,Soybeans,2011-01-01,1485,1302.63,16.45,18519,ALBANIA,11.1k,3130.0,both,11100.0
ALBANIA,Wheat,2011-01-01,1485,1302.63,16.45,42301,ALBANIA,11.1k,3130.0,both,11100.0
ALBANIA,Maize,2012-01-01,1485,766.25,16.7,67290,ALBANIA,11.2k,3180.0,both,11200.0
ALBANIA,Potatoes,2012-01-01,1485,766.25,16.7,250538,ALBANIA,11.2k,3180.0,both,11200.0
ALBANIA,Soybeans,2012-01-01,1485,766.25,16.7,13333,ALBANIA,11.2k,3180.0,both,11200.0
ALBANIA,Wheat,2012-01-01,1485,766.25,16.7,41096,ALBANIA,11.2k,3180.0,both,11200.0
ALBANIA,Maize,2013-01-01,1485,982.32,17.41,69533,ALBANIA,11.4k,3190.0,both,11400.0
ALBANIA,Potatoes,2013-01-01,1485,982.32,17.41,260110,ALBANIA,11.4k,3190.0,both,11400.0
ALBANIA,Soybeans,2013-01-01,1485,982.32,17.41,10000,ALBANIA,11.4k,3190.0,both,11400.0
ALBANIA,Wheat,2013-01-01,1485,982.32,17.41,41292,ALBANIA,11.4k,3190.0,both,11400.0
ALGERIA,Maize,1990-01-01,89,1828.92,17.48,16500,ALGERIA,7620,2750.0,both,7620.0
ALGERIA,Potatoes,1990-01-01,89,1828.92,17.48,78936,ALGERIA,7620,2750.0,both,7620.0
ALGERIA,"Rice, paddy",1990-01-01,89,1828.92,17.48,28000,ALGERIA,7620,2750.0,both,7620.0
ALGERIA,Sorghum,1990-01-01,89,1828.92,17.48,16571,ALGERIA,7620,2750.0,both,7620.0
ALGERIA,Wheat,1990-01-01,89,1828.92,17.48,6315,ALGERIA,7620,2750.0,both,7620.0
ALGERIA,Maize,1991-01-01,89,2461.8,16.26,19231,ALGERIA,7480,2730.0,both,7480.0
ALGERIA,Potatoes,1991-01-01,89,2461.8,16.26,90747,ALGERIA,7480,2730.0,both,7480.0
ALGERIA,"Rice, paddy",1991-01-01,89,2461.8,16.26,26786,ALGERIA,7480,2730.0,both,7480.0
ALGERIA,Sorghum,1991-01-01,89,2461.8,16.26,24231,ALGERIA,7480,2730.0,both,7480.0
ALGERIA,Wheat,1991-01-01,89,2461.8,16.26,10809,ALGERIA,7480,2730.0,both,7480.0
ALGERIA,Maize,1992-01-01,89,1215.47,16.27,22828,ALGERIA,7550,2870.0,both,7550.0
ALGERIA,Potatoes,1992-01-01,89,1215.47,16.27,107917,ALGERIA,7550,2870.0,both,7550.0
ALGERIA,"Rice, paddy",1992-01-01,89,1215.47,16.27,24733,ALGERIA,7550,2870.0,both,7550.0
ALGERIA,Sorghum,1992-01-01,89,1215.47,16.27,40000,ALGERIA,7550,2870.0,both,7550.0
ALGERIA,Wheat,1992-01-01,89,1215.47,16.27,9939,ALGERIA,7550,2870.0,both,7550.0
ALGERIA,Maize,1993-01-01,89,1021.89,17.0,12500,ALGERIA,7340,2870.0,both,7340.0
ALGERIA,Potatoes,1993-01-01,89,1021.89,17.0,111215,ALGERIA,7340,2870.0,both,7340.0
ALGERIA,"Rice, paddy",1993-01-01,89,1021.89,17.0,23111,ALGERIA,7340,2870.0,both,7340.0
ALGERIA,Sorghum,1993-01-01,89,1021.89,17.0,50000,ALGERIA,7340,2870.0,both,7340.0
ALGERIA,Wheat,1993-01-01,89,1021.89,17.0,8097,ALGERIA,7340,2870.0,both,7340.0
ALGERIA,Maize,1994-01-01,89,1255.02,17.88,4512,ALGERIA,7220,2760.0,both,7220.0
ALGERIA,Potatoes,1994-01-01,89,1255.02,17.88,95078,ALGERIA,7220,2760.0,both,7220.0
ALGERIA,"Rice, paddy",1994-01-01,89,1255.02,17.88,21374,ALGERIA,7220,2760.0,both,7220.0
ALGERIA,Wheat,1994-01-01,89,1255.02,17.88,7999,ALGERIA,7220,2760.0,both,7220.0
ALGERIA,Maize,1995-01-01,89,2697.09,17.36,16115,ALGERIA,7450,2790.0,both,7450.0
ALGERIA,Potatoes,1995-01-01,89,2697.09,17.36,136768,ALGERIA,7450,2790.0,both,7450.0
ALGERIA,"Rice, paddy",1995-01-01,89,2697.09,17.36,19598,ALGERIA,7450,2790.0,both,7450.0
ALGERIA,Sorghum,1995-01-01,89,2697.09,17.36,12667,ALGERIA,7450,2790.0,both,7450.0
ALGERIA,Wheat,1995-01-01,89,2697.09,17.36,8924,ALGERIA,7450,2790.0,both,7450.0
ALGERIA,Maize,1996-01-01,89,479.77,16.76,17154,ALGERIA,7710,2780.0,both,7710.0
ALGERIA,Potatoes,1996-01-01,89,479.77,16.76,134629,ALGERIA,7710,2780.0,both,7710.0
ALGERIA,"Rice, paddy",1996-01-01,89,479.77,16.76,17861,ALGERIA,7710,2780.0,both,7710.0
ALGERIA,Sorghum,1996-01-01,89,479.77,16.76,14750,ALGERIA,7710,2780.0,both,7710.0
ALGERIA,Wheat,1996-01-01,89,479.77,16.76,13090,ALGERIA,7710,2780.0,both,7710.0
ALGERIA,Maize,1997-01-01,89,401.22,17.84,21417,ALGERIA,7750,2730.0,both,7750.0
ALGERIA,Potatoes,1997-01-01,89,401.22,17.84,141042,ALGERIA,7750,2730.0,both,7750.0
ALGERIA,"Rice, paddy",1997-01-01,89,401.22,17.84,15000,ALGERIA,7750,2730.0,both,7750.0
ALGERIA,Sorghum,1997-01-01,89,401.22,17.84,40000,ALGERIA,7750,2730.0,both,7750.0
ALGERIA,Wheat,1997-01-01,89,401.22,17.84,8016,ALGERIA,7750,2730.0,both,7750.0
ALGERIA,Maize,1998-01-01,89,322.84,17.14,17222,ALGERIA,8100,2790.0,both,8100.0
ALGERIA,Potatoes,1998-01-01,89,322.84,17.14,160256,ALGERIA,8100,2790.0,both,8100.0
ALGERIA,"Rice, paddy",1998-01-01,89,322.84,17.14,15000,ALGERIA,8100,2790.0,both,8100.0
ALGERIA,Sorghum,1998-01-01,89,322.84,17.14,24500,ALGERIA,8100,2790.0,both,8100.0
ALGERIA,Wheat,1998-01-01,89,322.84,17.14,8847,ALGERIA,8100,2790.0,both,8100.0
ALGERIA,Maize,1999-01-01,89,654.45,17.97,22375,ALGERIA,8320,2840.0,both,8320.0
ALGERIA,Potatoes,1999-01-01,89,654.45,17.97,153532,ALGERIA,8320,2840.0,both,8320.0
ALGERIA,"Rice, paddy",1999-01-01,89,654.45,17.97,13942,ALGERIA,8320,2840.0,both,8320.0
ALGERIA,Sorghum,1999-01-01,89,654.45,17.97,27000,ALGERIA,8320,2840.0,both,8320.0
ALGERIA,Wheat,1999-01-01,89,654.45,17.97,10711,ALGERIA,8320,2840.0,both,8320.0
ALGERIA,Maize,2000-01-01,89,603.67,17.9,36186,ALGERIA,8580,2810.0,both,8580.0
ALGERIA,Potatoes,2000-01-01,89,603.67,17.9,166143,ALGERIA,8580,2810.0,both,8580.0
ALGERIA,"Rice, paddy",2000-01-01,89,603.67,17.9,13052,ALGERIA,8580,2810.0,both,8580.0
ALGERIA,Sorghum,2000-01-01,89,603.67,17.9,69500,ALGERIA,8580,2810.0,both,8580.0
ALGERIA,Wheat,2000-01-01,89,603.67,17.9,9194,ALGERIA,8580,2810.0,both,8580.0
ALGERIA,Maize,2001-01-01,89,710.11,18.13,27175,ALGERIA,8780,2890.0,both,8780.0
ALGERIA,Potatoes,2001-01-01,89,710.11,18.13,147018,ALGERIA,8780,2890.0,both,8780.0
ALGERIA,"Rice, paddy",2001-01-01,89,710.11,18.13,12314,ALGERIA,8780,2890.0,both,8780.0
ALGERIA,Sorghum,2001-01-01,89,710.11,18.13,27750,ALGERIA,8780,2890.0,both,8780.0
ALGERIA,Wheat,2001-01-01,89,710.11,18.13,11104,ALGERIA,8780,2890.0,both,8780.0
ALGERIA,Maize,2002-01-01,89,816.55,17.85,33480,ALGERIA,9180,2930.0,both,9180.0
ALGERIA,Potatoes,2002-01-01,89,816.55,17.85,183774,ALGERIA,9180,2930.0,both,9180.0
ALGERIA,"Rice, paddy",2002-01-01,89,816.55,17.85,12959,ALGERIA,9180,2930.0,both,9180.0
ALGERIA,Sorghum,2002-01-01,89,816.55,17.85,33900,ALGERIA,9180,2930.0,both,9180.0
ALGERIA,Wheat,2002-01-01,89,816.55,17.85,10739,ALGERIA,9180,2930.0,both,9180.0
ALGERIA,Maize,2004-01-01,89,3747.86,17.38,31729,ALGERIA,10k,2990.0,both,10000.0
ALGERIA,Potatoes,2004-01-01,89,3747.86,17.38,203585,ALGERIA,10k,2990.0,both,10000.0
ALGERIA,"Rice, paddy",2004-01-01,89,3747.86,17.38,12829,ALGERIA,10k,2990.0,both,10000.0
ALGERIA,Sorghum,2004-01-01,89,3747.86,17.38,43316,ALGERIA,10k,2990.0,both,10000.0
ALGERIA,Wheat,2004-01-01,89,3747.86,17.38,13582,ALGERIA,10k,2990.0,both,10000.0
ALGERIA,Maize,2005-01-01,89,3662.87,17.19,33864,ALGERIA,10.4k,2960.0,both,10400.0
ALGERIA,Potatoes,2005-01-01,89,3662.87,17.19,216267,ALGERIA,10.4k,2960.0,both,10400.0
ALGERIA,"Rice, paddy",2005-01-01,89,3662.87,17.19,12998,ALGERIA,10.4k,2960.0,both,10400.0
ALGERIA,Sorghum,2005-01-01,89,3662.87,17.19,33486,ALGERIA,10.4k,2960.0,both,10400.0
ALGERIA,Wheat,2005-01-01,89,3662.87,17.19,15057,ALGERIA,10.4k,2960.0,both,10400.0
ALGERIA,Maize,2006-01-01,89,4110.72,18.13,65668,ALGERIA,10.6k,3050.0,both,10600.0
ALGERIA,Potatoes,2006-01-01,89,4110.72,18.13,220689,ALGERIA,10.6k,3050.0,both,10600.0
ALGERIA,"Rice, paddy",2006-01-01,89,4110.72,18.13,12769,ALGERIA,10.6k,3050.0,both,10600.0
ALGERIA,Sorghum,2006-01-01,89,4110.72,18.13,56728,ALGERIA,10.6k,3050.0,both,10600.0
ALGERIA,Wheat,2006-01-01,89,4110.72,18.13,15068,ALGERIA,10.6k,3050.0,both,10600.0
ALGERIA,Maize,2007-01-01,89,5390.79,17.42,85625,ALGERIA,10.7k,3040.0,both,10700.0
ALGERIA,Potatoes,2007-01-01,89,5390.79,17.42,189927,ALGERIA,10.7k,3040.0,both,10700.0
ALGERIA,"Rice, paddy",2007-01-01,89,5390.79,17.42,13375,ALGERIA,10.7k,3040.0,both,10700.0
ALGERIA,Sorghum,2007-01-01,89,5390.79,17.42,119059,ALGERIA,10.7k,3040.0,both,10700.0
ALGERIA,Wheat,2007-01-01,89,5390.79,17.42,12742,ALGERIA,10.7k,3040.0,both,10700.0
ALGERIA,Maize,2008-01-01,89,11556.12,17.55,44714,ALGERIA,10.8k,3050.0,both,10800.0
ALGERIA,Potatoes,2008-01-01,89,11556.12,17.55,236393,ALGERIA,10.8k,3050.0,both,10800.0
ALGERIA,"Rice, paddy",2008-01-01,89,11556.12,17.55,13952,ALGERIA,10.8k,3050.0,both,10800.0
ALGERIA,Sorghum,2008-01-01,89,11556.12,17.55,61786,ALGERIA,10.8k,3050.0,both,10800.0
ALGERIA,Wheat,2008-01-01,89,11556.12,17.55,11038,ALGERIA,10.8k,3050.0,both,10800.0
ALGERIA,Maize,2009-01-01,89,3867.99,17.78,30914,ALGERIA,10.7k,3110.0,both,10700.0
ALGERIA,Potatoes,2009-01-01,89,3867.99,17.78,250764,ALGERIA,10.7k,3110.0,both,10700.0
ALGERIA,"Rice, paddy",2009-01-01,89,3867.99,17.78,14594,ALGERIA,10.7k,3110.0,both,10700.0
ALGERIA,Sorghum,2009-01-01,89,3867.99,17.78,90465,ALGERIA,10.7k,3110.0,both,10700.0
ALGERIA,Wheat,2009-01-01,89,3867.99,17.78,15975,ALGERIA,10.7k,3110.0,both,10700.0
ALGERIA,Maize,2010-01-01,89,1295.88,17.59,25827,ALGERIA,11k,3140.0,both,11000.0
ALGERIA,Potatoes,2010-01-01,89,1295.88,17.59,270526,ALGERIA,11k,3140.0,both,11000.0
ALGERIA,"Rice, paddy",2010-01-01,89,1295.88,17.59,15305,ALGERIA,11k,3140.0,both,11000.0
ALGERIA,Sorghum,2010-01-01,89,1295.88,17.59,30286,ALGERIA,11k,3140.0,both,11000.0
ALGERIA,Wheat,2010-01-01,89,1295.88,17.59,14838,ALGERIA,11k,3140.0,both,11000.0
ALGERIA,Maize,2011-01-01,89,13861.76,17.79,23374,ALGERIA,11.1k,3220.0,both,11100.0
ALGERIA,Potatoes,2011-01-01,89,13861.76,17.79,292806,ALGERIA,11.1k,3220.0,both,11100.0
ALGERIA,"Rice, paddy",2011-01-01,89,13861.76,17.79,16081,ALGERIA,11.1k,3220.0,both,11100.0
ALGERIA,Sorghum,2011-01-01,89,13861.76,17.79,100000,ALGERIA,11.1k,3220.0,both,11100.0
ALGERIA,Wheat,2011-01-01,89,13861.76,17.79,17405,ALGERIA,11.1k,3220.0,both,11100.0
ALGERIA,Maize,2012-01-01,89,17379.76,17.91,25583,ALGERIA,11.2k,3270.0,both,11200.0
ALGERIA,Potatoes,2012-01-01,89,17379.76,17.91,304291,ALGERIA,11.2k,3270.0,both,11200.0
ALGERIA,"Rice, paddy",2012-01-01,89,17379.76,17.91,16667,ALGERIA,11.2k,3270.0,both,11200.0
ALGERIA,Sorghum,2012-01-01,89,17379.76,17.91,206000,ALGERIA,11.2k,3270.0,both,11200.0
ALGERIA,Wheat,2012-01-01,89,17379.76,17.91,17639,ALGERIA,11.2k,3270.0,both,11200.0
ALGERIA,Maize,2013-01-01,89,17278.65,17.65,33649,ALGERIA,11.2k,3300.0,both,11200.0
ALGERIA,Potatoes,2013-01-01,89,17278.65,17.65,303218,ALGERIA,11.2k,3300.0,both,11200.0
ALGERIA,"Rice, paddy",2013-01-01,89,17278.65,17.65,17778,ALGERIA,11.2k,3300.0,both,11200.0
ALGERIA,Sorghum,2013-01-01,89,17278.65,17.65,60000,ALGERIA,11.2k,3300.0,both,11200.0
ALGERIA,Wheat,2013-01-01,89,17278.65,17.65,19100,ALGERIA,11.2k,3300.0,both,11200.0
ANGOLA,Cassava,1990-01-01,1010,64.0,24.12,41177,ANGOLA,4000,1640.0,both,4000.0
ANGOLA,Maize,1990-01-01,1010,64.0,24.12,2736,ANGOLA,4000,1640.0,both,4000.0
ANGOLA,Potatoes,1990-01-01,1010,64.0,24.12,40000,ANGOLA,4000,1640.0,both,4000.0
ANGOLA,"Rice, paddy",1990-01-01,1010,64.0,24.12,9512,ANGOLA,4000,1640.0,both,4000.0
ANGOLA,Sweet potatoes,1990-01-01,1010,64.0,24.12,89342,ANGOLA,4000,1640.0,both,4000.0
ANGOLA,Wheat,1990-01-01,1010,64.0,24.12,7995,ANGOLA,4000,1640.0,both,4000.0
ANGOLA,Cassava,1991-01-01,1010,79.0,24.02,40295,ANGOLA,4050,1610.0,both,4050.0
ANGOLA,Maize,1991-01-01,1010,79.0,24.02,4013,ANGOLA,4050,1610.0,both,4050.0
ANGOLA,Potatoes,1991-01-01,1010,79.0,24.02,40000,ANGOLA,4050,1610.0,both,4050.0
ANGOLA,"Rice, paddy",1991-01-01,1010,79.0,24.02,10000,ANGOLA,4050,1610.0,both,4050.0
ANGOLA,Sweet potatoes,1991-01-01,1010,79.0,24.02,83001,ANGOLA,4050,1610.0,both,4050.0
ANGOLA,Wheat,1991-01-01,1010,79.0,24.02,8000,ANGOLA,4050,1610.0,both,4050.0
ANGOLA,Cassava,1992-01-01,1010,23.0,23.96,42295,ANGOLA,3810,1630.0,both,3810.0
ANGOLA,Maize,1992-01-01,1010,23.0,23.96,3778,ANGOLA,3810,1630.0,both,3810.0
ANGOLA,Potatoes,1992-01-01,1010,23.0,23.96,40000,ANGOLA,3810,1630.0,both,3810.0
ANGOLA,"Rice, paddy",1992-01-01,1010,23.0,23.96,9106,ANGOLA,3810,1630.0,both,3810.0
ANGOLA,Sweet potatoes,1992-01-01,1010,23.0,23.96,90000,ANGOLA,3810,1630.0,both,3810.0
ANGOLA,Wheat,1992-01-01,1010,23.0,23.96,8000,ANGOLA,3810,1630.0,both,3810.0
ANGOLA,Cassava,1993-01-01,1010,169.0,24.15,42295,ANGOLA,2890,1560.0,both,2890.0
ANGOLA,Maize,1993-01-01,1010,169.0,24.15,2627,ANGOLA,2890,1560.0,both,2890.0
ANGOLA,Potatoes,1993-01-01,1010,169.0,24.15,70000,ANGOLA,2890,1560.0,both,2890.0
ANGOLA,"Rice, paddy",1993-01-01,1010,169.0,24.15,8000,ANGOLA,2890,1560.0,both,2890.0
ANGOLA,Sweet potatoes,1993-01-01,1010,169.0,24.15,88095,ANGOLA,2890,1560.0,both,2890.0
ANGOLA,Wheat,1993-01-01,1010,169.0,24.15,8876,ANGOLA,2890,1560.0,both,2890.0
ANGOLA,Cassava,1994-01-01,1010,25.5,24.04,58596,ANGOLA,2920,1640.0,both,2920.0
ANGOLA,Maize,1994-01-01,1010,25.5,24.04,2463,ANGOLA,2920,1640.0,both,2920.0
ANGOLA,Potatoes,1994-01-01,1010,25.5,24.04,90000,ANGOLA,2920,1640.0,both,2920.0
ANGOLA,"Rice, paddy",1994-01-01,1010,25.5,24.04,8750,ANGOLA,2920,1640.0,both,2920.0
ANGOLA,Sweet potatoes,1994-01-01,1010,25.5,24.04,83192,ANGOLA,2920,1640.0,both,2920.0
ANGOLA,Wheat,1994-01-01,1010,25.5,24.04,10000,ANGOLA,2920,1640.0,both,2920.0
ANGOLA,Cassava,1995-01-01,1010,336.0,24.56,51000,ANGOLA,3340,1690.0,both,3340.0
ANGOLA,Maize,1995-01-01,1010,336.0,24.56,3517,ANGOLA,3340,1690.0,both,3340.0
ANGOLA,Potatoes,1995-01-01,1010,336.0,24.56,76738,ANGOLA,3340,1690.0,both,3340.0
